sample_size,mean_age,n_foci
15,6.8,3
16,9.3,10
23,8.5,9
30,10.27,7
18,10.93,11
44,10.04,6
57,8.9,15
14,12.37,63
10,7,39
16,10.34,22
15,10.33,30
27,10.4,20
40,11.9,8
12,11.5,9
23,8.5,28
9,10.18,9
10,12.1,8
22,5.75,22
23,9.583,9
13,6.833,11
13,6.167,8
23,8.79,15
19,11.1,27
20,5.875,34
36,5.8,6
30,4.22,9
40,7.9,15
